"concept_id:ID","name",":LABEL"
"d1726146484d9c07aac1bbca034130219c5c35567b972340491f2ba94a9a3ab7","state","Concept"
"c669b864ccb1d52d72b282465de34dcef4d6d6d34a2fd9fa3f64f4e8398c2048","discoveries","Concept"
"0a75fb5bc7c4827894ecf06cc42f87b9f4417d9ed41d086116e92facc4310e97","unannounced","Concept"
"2b563e7fe2fb637b716fd925177af2ec8f118fb9c5487827f058480d3e5a8764","quietness","Concept"
"e85abfa699f3bd6d84255c77023e7f37d636e6a01ca6485aae2f2290d1097d4a","relaxing","Concept"
"580bbec55ba796bae05e664d07589d63e05793df5d0bc5c7cfb5a6d5b25ba05d","science","Concept"
"6d2d54d9c14c8228e57d0135ad3cda5273636e4f93f9b7b3913b2030be7a8587","leaving","Concept"
"3b76e25a38ec5f12ce41bad48d91010b811dd3adddd105f4c78bc4b3ef300fc0","rebellion","Concept"
"622ee7edbd215f360ede2f86175e98732bbc7a01e3f6c5ebc643c1de0819e7da","assignment","Concept"
"1805a182645cd64ea9a23a57785cbcebd8ea19044cb4bafd83dbdf1f75f58052","approval","Concept"
"2b2aa1e5516ddc06fab77aeef1a2d42d67eb640590aae1ee68f7e206ec22a89a","apparatus","Concept"
"8d431d9582ae9c6a2b06feb0268a22e77567b098afb1c2756f11f4b9860c8976","student","Concept"
"6fe9c74956bc5eb60dce28cbebdfd7e8c8ba2abe91da31da6edff4bd448578c1","look","Concept"
"4a9c454056c6c4ce99da97753aa330e268c1a422f66f710ec6461eb6340fc96a","workers","Concept"
"b5a5b4fef32a608d551c89cec172c445abc1ac149f25cd5d07bdfb7bf44f58ba","resignation","Concept"
"60f659892878891f9b104e4985b6f668c95a727f7b3f02dbf48ebcafd6fb0e1b","scanning","Concept"
"dda9b43a285818f9c2e1863cda6a8dcdee0599b076a23253d84ce3e79f34af31","exploration","Concept"
"eff08b641e2487622ad168f1777f99e5251111877768db204c5ef4705e2c64b3","mission","Concept"
"7d2aac8fb72cd51a5596c3adebec0225d54d0e887115d0634240e0123ed41b54","command","Concept"
"8c16c7bee6af9522e7171de91e16c1b51f36b5731bdee0fb08b94c22fd002f27","combat","Concept"
"34e50206031141ae55b0953c5410092b91da703fe9577710e9cd63ecc28a055a","persistence","Concept"
"13fa446b7c2d31d84d6b338132cd0e98772092a7717aec2802f94dae8893aeb8","man","Concept"
"69b11969ed6ba7963defe818b547b8da769e5997d49dd83b3f312b1d93cdb921","outcome","Concept"
"bd932c198c3b2f06dc57edbf782a0cae702bc3435bbd44e2373dcdbc0f5f8e3d","competence","Concept"
"3d7763a5c73b954b5545db1b8553e2ed2adbbd9d264e831a2303eb820b2294c7","pause","Concept"
"8a09189261437077689eaf9bc1fa705f61d241c854bf6e623932b41548363729","acknowledgment","Concept"
"112e8ce8a35ae0fb959a905bb923ee8f4f5f4c1d2ad876e82fbf7d58caf2c8e2","weapon handling","Concept"
"28ee5126226295c1218429325cbd4fc30b08ad5619c4483cb73adfbca44f5302","research","Concept"
"b0495824579d0626e7ebc28d778dd29d97317a02d41b6b762c1fd4cd0e101274","experimentation","Concept"
"8cbfebfa699ba5216fe74424ad6fcfd1450ecbef971b5987a6e45663ccad86d7","security","Concept"
"72ba7c0547c96c5c547ab6f61b219273c5aceabba05d931487bbf2fcdeee2248","courtesy","Concept"
"23831843a48c63be9f9473d47da0cbcb01715985961899a5715d7095c78f451f","inquiry","Concept"
"853b13d89c6ed66db695b4b72b135a9feb4a43e4c62121a3dbd9504e739e7af5","clues","Concept"
"e35a7d7eb29182185a381d527038e361a2475315d177d0dd24cef786c1b836f8","emission","Concept"
"94bc1e19345916d7d9206b46625771e957699f52c12358f19cb4612b60f38b16","language","Concept"
"487dafbce09e50f4e4bd33df872ed28db583f1a5e16d2ad0838010c17dc4cac9","flirtation","Concept"
"92c710371a7c444c80045a9d078452eb998dbef18ea1825c9842915de3638b01","intensity","Concept"
"12a0f89a6194589111722c90e211ce3833283076c6f228b192a759b8dc0990f6","expertise","Concept"
"8f0a4ce25aa7e4d0cae1db4fb02ee14f93b5f982cc028d2f020819e8ff95eac1","announcement","Concept"
"41aa95355fa5a17fa86833cdbafc9d6b6bce3fd024561ab83f612aa08761841d","core","Concept"
"464248164cc9f511c600a9e18fa8c2436d6ab4b06aa212576ed287ec0dc98074","professor","Concept"
"4e7af6450f9578e1490346e22dc152f7500f3b4131a5c498408c319181e0cd56","venturing","Concept"
"ffd8743ce7774b7f00107b9d9985e26d39a66ef43b18f58cdb3374d9af552021","looming presence","Concept"
"f83e630b1bff073b4d3a014031728ea702847809c31cb53161812244ecaac7d9","introspection","Concept"
"7b3358b1811c063cdec19390794a2dc8e4795c856ea851c8759a472943d2902d","conflict","Concept"
"4f2028f56854987078da3fff713d028f2b20ed7fe1d233f9671689b209e01cbf","silence","Concept"
"0e89005a8bb417e521166a2b217e032e6cffcfe067907d310a17d5a2a5c0d9d4","language unit","Concept"
"20ab9a5a848717af31ee5dbded19dd8dce5e22cfd26a40a5af182c5b3ffe4bb9","elite","Concept"
"6967dd6395beaf6b6c4e07e94372987ff3d2c47152778b4e1f8fe41a5fb11a19","human race","Concept"
"44febd5729cba6f3e5be92d7524996680699c94ca31b0fac00cce2b3d2de4b11","descending","Concept"
"7b7a38b509935fe6e244ab34c520f4eb79e798172db2788cff2fa2b9b781f670","disturbance","Concept"
"b780885ca03c7fb438f0590ef73bbaf9475c3254e110cad180b756f37c47dd2b","piece","Concept"
"cd7fb7c1198c7c02117fece5d7a281370073d50b62e11868191cac05bd65a269","pondering","Concept"
"b9f27e3ef64bca519878e8844ff0a04ebf6161897dbe2629edbe706d4674f4de","distraction","Concept"
"aaaf41a40cb8f1e82363247efe4abfcff16645a5697ebfb002d6e19d36863698","antiquities","Concept"
"ef0faa475a221ee6b035d9f7351f5739b5c7fefe53e5792913454d304704e470","mutual understanding","Concept"
"9ea94de1a8a7e0d39b7c7ddc3de3aef1b899fae592bf249add3e972ff2356fb3","dismissal","Concept"
"2e18cc325056b3c70b198a782334610d987fb3a63e65602f979259c32007ee0f","rumination","Concept"
"c6d36126706cdaa1d6a843c55d10a83ab6def550c4600346fc8858f0bdbdf5ab","praise","Concept"
"39d54b38dc3a765466c376424437b23f0f0a5e45768280089445a46bc3184beb","attitude","Concept"
"1e4bc7d43e799a86cbc2ee4128c5c2c2797664d4d76def6bbb4ea390f70597cf","assistance","Concept"
"ae6c32d161301e9369fe47e1fde3b6dfb5616e2197bc99a8494d179853efc052","vigilance","Concept"
"24dee34ed6fb1078139ae76a0092d20efc5755b1af3aca5201f5e46db2eb1b81","retort","Concept"
"9d6911f4eea24d4e0b593a5a6d75c70ad4554b978796506af8f26a5f4304426d","paradigm shift","Concept"
"732301409da81d4fcd235dc2ca1f7daacbdd5e19d0cd63b6a3d0d122c13ed19a","unpredictability","Concept"
"9db290fa1bfd4ea91ea41a0f3258a3ca3ede09f48e17aee3a768519e7e1f3eb3","portal","Concept"
"a0a6fca0dbfe0334eea264ba0b022b89c508d89bd94e9147da21a74f3c032996","composure","Concept"
"8daaed4b686ca14c61bb2aa72efaa16fcfa9c5996feee3d3db13632a45127ef2","science fiction","Concept"
"f25537a79eb6eb84bdc449e89757088411abb4413674fdbe54151866e069b5c5","items","Concept"
"1c9b38dc67bd7fc517acf13d746786eeddcd79602e14d147d0e476d00a8dc69d","defense","Concept"
"dfcf9c31322687985ef3150efeab8bdd6f1fbd46f1d2ea0125521998a020671f","disclosure","Concept"
"831797ffb7465a4bc8b2a5c6f676b4fb6a4639c1f8f17b6b9227025559ddd128","staring","Concept"
"0f825407f5f63d9e95c9ca050de6099e3dbb6c68c2310c7c1d88777114ce14c6","appearance","Concept"
"fad52e2f9c0e1cb2ce57f9cce968b1b416d9c07d6552ad62e2e0d1570cc3b6ae","stillness","Concept"
"1d741ec5ec2421d6085c9e6a5b0db578ad45b76a8d40dee7c373bf9fe3a5bf74","aircraft","Concept"
"1157701535f4e651608199491d7493ae418679569f4837434cb9ee6ddcacb17d","actor","Concept"
"b2d87b25deec635f3e5fe42b920c2d0719591d580079ef3004a9a4fe1ce2fc5d","pausing","Concept"
"a92024aa6032c2852ffa4759208277ae2891c21c629a74021102afc833f8430f","sitting up","Concept"
"422bfdb47c3a0873cf8b0dc937d0d83db989ff58327965e6dd63dcdc306f6b2d","base","Concept"
"d95bf4470024539f6d91fc38eadfa657d602bbf992a25986f2f9e87d8e056ea8","presentation","Concept"
"af8ea05e0db7511525c663a46a8d7f3d6c122e6735620799e5d0e0879197c3e0","people","Concept"
"c805b65b9ee60282b4a6a5c61abf1f96bca0826a0c147bab0b524ed18dd6610c","deception","Concept"
"6cffce8e22f4f081365768ceb83c6e0adfa99a243a0343f2dc51140e152139d6","group","Concept"
"ee270ed17d2fcdc4fad6614ca844561d48b568447a2fff7091313e5b94ef037d","closed-mindedness","Concept"
"233e57120ea2d181754146c43072351cc80625ea9355e5c3118f509680beb5a6","discomfort","Concept"
"46b63aaf5f9164fadf19508924dfaf98ab38d2cea0280c8292b4985a0d45a63a","positioning","Concept"
"92c707e7492a10d899f7e8b61cb08d84970f840bba299e9faa7b6ed0ce0b4804","sacrifice","Concept"
"b36b777f0522ae5d22c83e0f8909e7f62542793e4686adfafe2e517d9eb64388","fatigue","Concept"
"f99659909cf09ec813407aa0eba2eed88b10b32fa52a6161a8d4a31c68e4d95c","emotional shift","Concept"
"86035cb539eb9972dae33c860941c8427a27647500cce88549e2b5577e6a90a6","squad","Concept"
"4e7e33033cea0963ca4cb64f50c7246b249b205160b944f1587b0c1d6b51235e","commentary","Concept"
"774ea1f02ebdbea3d8e825b393a25f7e225902c905e9666a8b87f81b3c0844aa","statement","Concept"
"1aa70037b514a74004bab904736171a73d8f311e86e55c52e86fbddf001371db","organization","Concept"
"03870de14b1872d6dfb3389651a062714e9ef27bd32f3d3ce04750fd7553d376","discourse","Concept"
"6e2c0d67c9a1c07d5e06dcc7c3f1ee7d0c96047c08b1a5fa33c385a736268487","cluster","Concept"
"800691ea46a799afe2b4d45717037f16ce61f67632b78eef7db9ba83ef376fe5","sabotage","Concept"
"5b4957131337bbba64b4574f4aa452e077ada6806c8a2d2cb55f8318042a68b0","retreat","Concept"
"5c4650fcef52d3b23fd9cf8b7684c38d5431a1c6c08d4c2523f8a81ffcaaf57e","mankind","Concept"
"f0bcaa1698a50e1c8c24c16665121ac92bb3e443c7f2d14d7762043c754a52c5","inclusion","Concept"
"668eac6c62750030afe4e4f08dfb37e5f42dd19c4473a4bef767fe6c16008ea4","gravity","Concept"
"be7766aa46f59c274200f6a9dba309deaa7b8edda801082c1701c572bc2fe3a2","peril","Concept"
"c5f767d85606bb1f673d854f3ea0a89ff41c3fe43e03ce48efba2bd8ce174919","congregation","Concept"
"ab8575e45fd412ce3ff5fea0debfc05dc4561203e002506c0b605f2cfdaad2c0","design","Concept"
"da7de9473012b6d7b993222683fcb51c7b2c8e705f7a94e3b067cb475260718c","agreement","Concept"
